TransID,Plate,State,TransactionNumber,TransactionDate,TransactionTime,TransactionAmount,FeeAmount1,FeeAmount2,TotalAmount,Location,VIN,Unit
306787,R596919,TX,20939104-01,04/03/2024,11:09:19,5.1,,,5.1,CREEK TURNPK/Mainline - Ln 6 - EB,,
306788,R596919,TX,20939104-02,03/29/2024,11:03:32,35.9,,,35.9,WILL ROGERS TURNPK/Mainline - Ln 7 WB,,
306789,R596919,TX,20939104-03,03/22/2024,04:57:07,14.45,,,14.45,INDIAN NATION TURNPK/Eufaula ML-SH 9 - Ln 3 - SB,,
306790,R596919,TX,20939104-04,03/21/2024,15:22:44,5.1,,,5.1,CREEK TURNPK/Mainline - Ln 3 - WB,,
306791,R596919,TX,20939104-05,03/19/2024,09:41:29,35.9,,,35.9,WILL ROGERS TURNPK/Mainline - Ln 6 WB,,
306792,R596919,TX,20939104-06,03/18/2024,11:00:39,35.9,,,35.9,WILL ROGERS TURNPK/Mainline - Ln 9 EB,,
306793,R596919,TX,20939104-07,03/15/2024,09:07:44,14.45,,,14.45,INDIAN NATION TURNPK/Eufaula ML-SH 9 - Ln 3 - SB,,
306794,R596919,TX,20939104-08,03/15/2024,07:34:38,2.85,,,2.85,CREEK TURNPK/Mainline - Ln 3 - WB,,
306795,R596919,TX,20939104-09,04/03/2024,11:09:19,11.35,,,11.35,MUSKOGEE TURNPK/Coweta ML - Ln 13 - NB,,
306796,R596919,TX,20939104-10,04/03/2024,11:09:19,8.75,,,8.75,MUSKOGEE TURNPK/Muskogee ML - Ln 13 - NB,,
,R596919,TX,20939104-10,04/03/2024,21:09:19,8.75,,,8.75,MUSKOGEE TURNPK/Muskogee ML - Ln 13 - NB,,
